/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
30,Process,3210-11,BOP,LSU-CC-P-54,3210-11-02,3213-BL-701,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-02,,,,,Issued for Review / Approval,2026/4/18,,,,,,,,,TRUE,3210-11-02,PR2ME-PIL-QTY-59-HOP-3210-11-02,,,TRUE,TRUE,TRUE,,,,
31,Process,3210-11,BOP,LSU-CC-P-54,3210-11-01,3213-CR-701,Pebble Crusher 7,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-11-01,,,,TRUE,TRUE,TRUE,,,,
32,Process,3210-10,BOP,LSU-CC-P-54,3210-10-04,3213-ME-701-M1/M2,Pebble Crusher 7 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-10-04,,,,TRUE,TRUE,TRUE,,,,
33,Process,3210-10,BOP,LSU-CC-P-54,3210-10-03,3213-MD-701,Pebble Crusher 7 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-10-03,,,,,A - Proceed,2026/4/9,,,,,Partial,2026/4/9,Partial,2026/4/9,TRUE,3210-10-03,PR2ME-PIL-QTY-59-HOP-3210-10-03,,,TRUE,TRUE,TRUE,,,,
34,Process,3210-10,BOP,LSU-CC-P-54,3210-10-02,3213-FE-701-M1,"Pebble Crusher 7 
Belt Feeder Motor",,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-10-02,,,,TRUE,TRUE,TRUE,,,,
35,Process,3210-10,BOP,LSU-CC-P-54,3210-10-01,3213-FE-601,Pebble Crusher 7 Belt Feeder & VSD,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-10-01,,,,TRUE,TRUE,TRUE,,,,
36,Process,3210-09,BOP,LSU-CC-P-54,3210-09-07,3213-ME-603,Pebble Crusher 6 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-07,,,,,A - Proceed,2026/4/8,,,,,Partial,2026/4/8,Partial,2026/4/8,TRUE,3210-09-07,PR2ME-PIL-QTY-59-HOP-3210-09-07,,,TRUE,TRUE,TRUE,,,,
37,Process,3210-09,BOP,LSU-CC-P-54,3210-09-06,3213-AX-601/602,Pebble Crusher 6 Lube Air Cooled Exchanger 1 & 2,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-06,,,,,A - Proceed,2026/4/16,,,,,Partial,2026/4/16,Partial,2026/4/16,TRUE,3210-09-06,PR2ME-PIL-QTY-59-HOP-3210-09-06,,,TRUE,TRUE,TRUE,,,,
38,Process,3210-09,BOP,LSU-CC-P-54,3210-09-05,3213-HO-601,Pebble Crusher 6 Discharge Hopper,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-05,,,,,Issued for Review / Approval,2026/4/19,,,,,,,,,TRUE,3210-09-05,PR2ME-PIL-QTY-59-HOP-3210-09-05,,,TRUE,TRUE,TRUE,,,,
39,Process,3210-09,BOP,LSU-CC-P-54,3210-09-04,3213-LU-601,Pebble Crusher 6 Lubrication Package,,,,0,,,,,PIL(MCC15),,,,"HOP正在上传Aconex
PR2ME-PIL-QTY-50-HOP-LOL-3210-09-04",PR2ME-PIL-QTY-50-HOP-LOL-3210-09-04,,,,A - Proceed,,A - Proceed,2026/4/15,,,Partial,2026/4/15,Partial,2026/4/15,TRUE,3210-09-04,,PR2ME-PIL-QTY-50-HOP-LOL-3210-09-04,,FALSE,TRUE,TRUE,,,,
40,Process,3210-09,BOP,LSU-CC-P-54,3210-09-03,3213-HP-601,Pebble Crusher 6 Hydraulic Power Unit,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-09-03,,,,TRUE,TRUE,TRUE,,,,
41,Process,3210-09,BOP,LSU-CC-P-54,3210-09-02,3213-BL-601,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-09-02,,,,TRUE,TRUE,TRUE,,,,
42,Process,3210-09,BOP,LSU-CC-P-54,3210-09-01,3213-CR-601,Pebble Crusher 6,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-09-01,,,,TRUE,TRUE,TRUE,,,,
43,Process,3210-08,BOP,LSU-CC-P-54,3210-08-04,3213-ME-601-M1/M2,Pebble Crusher 6 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-08-04,,,,TRUE,TRUE,TRUE,,,,
44,Process,3210-08,BOP,LSU-CC-P-54,3210-08-03,313-MD-601,Pebble Crusher 6 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-08-03,,,,,A - Proceed,2026/4/9,,,,,Partial,2026/4/9,Partial,2026/4/9,TRUE,3210-08-03,PR2ME-PIL-QTY-59-HOP-3210-08-03,,,TRUE,TRUE,TRUE,,,,
