/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,Area,LSU,,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
27,Process,3210-11,BOP,LSU-CC-P-54,3210-11-04,3213-LU-701,Pebble Crusher 7 Lubrication Package,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-LOL-3210-11-04,"电气：计划6月3日子系统RQI现场验收

仪表：计划6月3日子系统RQI现场验收",,,,,A - Proceed,2026/4/17,,,Partial,2026/4/17,Partial,2026/4/17,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-04,,PR2ME-PIL-QTY-50-HOP-LOL-3210-11-04,,TRUE,TRUE,FALSE,,,,
28,,2110,,LSU-CR-P-41,,,Primary Crusher 3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,
29,Process,3210-11,BOP,LSU-CC-P-54,3210-11-03,3213-HP-701,Pebble Crusher 7 Hydraulic Power Unit,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月3日子系统RQI现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-03,,,,TRUE,FALSE,FALSE,,,,
30,Process,3210-11,BOP,LSU-CC-P-54,3210-11-02,3213-BL-701,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-02,N/A,"电气：计划6月3日子系统RQI现场验收

仪表：计划6月3日子系统RQI现场验收",,,A - Proceed,2026/4/20,N/A,,,,Partial,2026/4/20,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-02,PR2ME-PIL-QTY-59-HOP-3210-11-02,,,TRUE,FALSE,FALSE,,,,
31,Process,3210-11,BOP,LSU-CC-P-54,3210-11-01,3213-CR-701,Pebble Crusher 7,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月3日子系统RQI现场验收

仪表：计划6月3日子系统RQI现场验收",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-01,,,,TRUE,FALSE,FALSE,,,,
32,Process,3210-10,BOP,LSU-CC-P-54,3210-10-04,3213-ME-701-M1/M2,Pebble Crusher 7 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月3日子系统RQI现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-10-04,,,,TRUE,FALSE,FALSE,,,,
33,Process,3210-10,BOP,LSU-CC-P-54,3210-10-03,3213-MD-701,Pebble Crusher 7 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-10-03,N/A,"仪表：计划6月3日子系统RQI现场验收

电气：N/A",,,A - Proceed,2026/4/9,N/A,,,,Partial,2026/4/9,Partial,2026/4/9,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-10-03,PR2ME-PIL-QTY-59-HOP-3210-10-03,,,TRUE,FALSE,FALSE,,,,
34,Process,3210-10,BOP,LSU-CC-P-54,3210-10-02,3213-FE-701-M1,"Pebble Crusher 7 
Belt Feeder Motor",,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月3日子系统RQI现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-10-02,,,,TRUE,FALSE,FALSE,,,,
35,Process,3210-10,BOP,LSU-CC-P-54,3210-10-01,3213-FE-601,Pebble Crusher 7 Belt Feeder & VSD,,,,0,,,,,PIL(MCC15),,,,"设备号登记错误，3213-FE-701
所属RQI（PR2ME-3200-PIL-QTY-RQI-30085）A类尾项未关闭：皮带拉绳卡扣未安装。（皮带防雨罩未安装（11号皮带(3215-CV-011)预计5月3日安装完成，12/13号皮带(3223-CV-012/013)防雨罩预计5月27日到货）；
皮带围栏未安装，最后一批预计5月28日到货）括号内已发邮件已降B类。
关闭可提交RQI（PR2ME-3200-PIL-QTY-30085），RQI签字后提交HOP包。
尾项现场已关闭，等待业主平台更新尾项后提交验收资料。",N/A,"仪表：计划6月3日子系统RQI现场验收

电气：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-10-01,,,,FALSE,FALSE,FALSE,,,,
36,Process,3210-09,BOP,LSU-CC-P-54,3210-09-07,3213-ME-603,Pebble Crusher 6 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-07,N/A,"仪表：计划6月3日子系统RQI现场验收

电气：N/A",,,A - Proceed,2026/4/8,N/A,,,,Partial,2026/4/8,Partial,2026/4/8,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-07,PR2ME-PIL-QTY-59-HOP-3210-09-07,,,TRUE,FALSE,FALSE,,,,
37,Process,3210-09,BOP,LSU-CC-P-54,3210-09-06,3213-AX-601/602,Pebble Crusher 6 Lube Air Cooled Exchanger 1 & 2,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-06,N/A,"电气：计划6月4日子系统RQI现场验收

仪表：计划6月4日子系统RQI现场验收",,,A - Proceed,2026/4/16,N/A,,,,Partial,2026/4/16,Partial,2026/4/16,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-06,PR2ME-PIL-QTY-59-HOP-3210-09-06,,,TRUE,FALSE,FALSE,,,,
38,Process,3210-09,BOP,LSU-CC-P-54,3210-09-05,3213-HO-601,Pebble Crusher 6 Discharge Hopper,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-05,N/A,"仪表：计划6月4日子系统RQI现场验收

电气：N/A",,,A - Proceed,2026/4/20,N/A,,,,Partial,2026/4/20,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-05,PR2ME-PIL-QTY-59-HOP-3210-09-05,,,TRUE,FALSE,FALSE,,,,
39,Process,3210-09,BOP,LSU-CC-P-54,3210-09-04,3213-LU-601,Pebble Crusher 6 Lubrication Package,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-LOL-3210-09-04,"电气：计划6月4日子系统RQI现场验收

仪表：计划6月4日子系统RQI现场验收",,,,,A - Proceed,2026/4/15,,,Partial,2026/4/15,Partial,2026/4/15,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-04,,PR2ME-PIL-QTY-50-HOP-LOL-3210-09-04,,TRUE,TRUE,FALSE,,,,
40,Process,3210-09,BOP,LSU-CC-P-54,3210-09-03,3213-HP-601,Pebble Crusher 6 Hydraulic Power Unit,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月4日子系统RQI现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-03,,,,TRUE,FALSE,FALSE,,,,
41,Process,3210-09,BOP,LSU-CC-P-54,3210-09-02,3213-BL-601,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-09-02,N/A,"电气：计划6月4日子系统RQI现场验收

仪表：计划6月4日子系统RQI现场验收",,,A - Proceed,2026/4/28,N/A,,,,Partial,2026/4/28,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-02,PR2ME-PIL-QTY-59-HOP-3210-09-02,,,TRUE,FALSE,FALSE,,,,
42,Process,3210-09,BOP,LSU-CC-P-54,3210-09-01,3213-CR-601,Pebble Crusher 6,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月4日子系统RQI现场验收

仪表：计划6月4日子系统RQI现场验收",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-09-01,,,,TRUE,FALSE,FALSE,,,,
43,Process,3210-08,BOP,LSU-CC-P-54,3210-08-04,3213-ME-601-M1/M2,Pebble Crusher 6 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月4日子系统RQI现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-08-04,,,,TRUE,FALSE,FALSE,,,,
44,Process,3210-08,BOP,LSU-CC-P-54,3210-08-03,313-MD-601,Pebble Crusher 6 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-08-03,N/A,"仪表：计划6月4日子系统RQI现场验收

电气：N/A",,,A - Proceed,2026/4/9,N/A,,,,Partial,2026/4/9,Partial,2026/4/9,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-08-03,PR2ME-PIL-QTY-59-HOP-3210-08-03,,,TRUE,FALSE,FALSE,,,,
45,Process,3210-08,BOP,LSU-CC-P-54,3210-08-02,3213-FE-601-M1,Pebble Crusher 6 Belt Feeder Motor,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：计划6月5日子系统RQI现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-08-02,,,,TRUE,FALSE,FALSE,,,,
